Heurística,VA_Temp,VO_Temp,VA_Hum,VO_Hum,VA_Noise,VO_Noise,VA_Light,VO_Luz,Satisfacción
Algoritmo Genético,28,23.47548922977974,82,45.7419986016516,60,30.811008582970445,130,456.4249786442634,0.4999975
Algoritmo Genético,23,25.376336140915683,81,53.53670200185448,61,54.72102171148536,4018,458.251719137556,0.45264
Algoritmo Genético,19,19.85437448895798,87,56.490949616579805,22,15.038036218177046,8705,257.9049076850424,0.526186875
Algoritmo Genético,26,20.126568105530165,49,58.80788416316925,38,42.76911701721028,2106,348.8975368153217,0.484186875
Algoritmo Genético,23,20.04769306944736,94,49.54854027697661,52,5.832294481086706,9467,460.12937391830025,0.46606187499999996
Algoritmo Genético,33,18.63288935668458,95,56.84184477279864,27,53.87460258503674,7866,435.68963309860266,0.46014875
Algoritmo Genético,26,24.717056366262568,92,48.7630820117647,2,49.69220019600261,3481,499.4915610956798,0.497200625
Algoritmo Genético,27,23.07733462832829,46,43.921757680352805,52,56.527330121338494,1812,319.21261691259105,0.49270625
Algoritmo Genético,28,20.485374871728112,78,56.42223074135816,43,13.92128664535398,6093,326.3006965063814,0.43015375
Algoritmo Genético,26,23.4834974161836,71,49.56805455578807,55,1.0579711511213974,7334,425.8676789529055,0.444616875
Algoritmo Genético,35,22.35019139769017,75,43.02309545403978,60,46.860259137463785,5969,211.183935218232,0.4373224999999999
Algoritmo Genético,31,21.19764650570953,48,47.7956955396464,16,23.322120504782017,554,366.2411514964964,0.5301868750000001
Algoritmo Genético,30,21.75150250582175,46,58.4275455819827,28,58.046398305374034,821,440.1748138815988,0.5116499999999999
Algoritmo Genético,31,22.69449172774652,53,59.9705445773993,28,52.74914496733607,5027,385.7609641772092,0.482535
Algoritmo Genético,31,24.40096455852793,41,45.36341745415717,4,15.171678103879682,2996,284.055922600854,0.5394049999999999
Algoritmo Genético,27,19.54333635915267,62,52.93774777866539,45,56.3731713987856,3667,268.7585124812463,0.433198125
Algoritmo Genético,34,18.998332452840536,67,53.75722073727869,36,58.02113189023921,3414,406.6440079992868,0.45527562499999996
Algoritmo Genético,24,20.13321248331718,75,45.46945303415068,55,10.1160547360299,1139,305.4826996763626,0.442855625
Algoritmo Genético,35,22.63771320326433,76,53.14245786213272,51,40.689181421349225,2924,470.1005889469869,0.437374375
Algoritmo Genético,34,18.31034269110897,44,42.78159464289653,61,3.203253478465684,4802,330.027070928571,0.47650187499999996
Algoritmo Genético,27,22.41456760592761,41,48.35886867669804,57,34.834185649195625,7652,487.4090316091787,0.51471875
Algoritmo Genético,33,22.597368457617847,74,52.09238885275606,38,7.291106964969504,1320,265.306748047502,0.45462374999999994
Algoritmo Genético,20,25.96646985082709,62,46.125757363349166,21,30.493150577670857,4939,208.5621197987061,0.47607625
Algoritmo Genético,34,22.83675212480284,72,46.21149065200833,6,22.32713076330388,9644,364.653645013708,0.48258874999999996
Algoritmo Genético,35,19.43407555653068,100,56.425719116429626,45,16.397119283276915,1667,439.4280992346892,0.455099375
Algoritmo Genético,18,20.72558251812628,70,53.0832916427494,31,15.195448319029731,439,419.7578748077906,0.62911125
Algoritmo Genético,26,18.526018303375142,54,42.65503125547733,12,14.80144775018358,7369,270.76856949467293,0.50701625
Algoritmo Genético,19,24.126143835001717,94,53.91601508412055,46,43.80432921304177,4130,389.6137102472412,0.49734375
Algoritmo Genético,27,22.62867076101794,67,49.131036901160094,26,23.82243713612536,4856,345.3489166840297,0.471274375
Algoritmo Genético,26,25.17514048251002,71,59.54239223652979,65,50.84039328599616,800,247.58367152702655,0.41910000000000003
Algoritmo Genético,24,22.62087563284115,70,56.1810331163246,57,53.22822526877409,2752,328.81574316424087,0.451635
Algoritmo Genético,35,25.482911035428582,51,43.719772865643336,56,11.940891892354662,3847,356.44059711999944,0.45908999999999994
Algoritmo Genético,28,19.127177884049868,98,47.82400214590193,59,51.39004327052552,4510,440.241878379934,0.44090125
Algoritmo Genético,36,21.982544180393205,89,55.63035858822124,10,15.833974936506522,279,342.1034398350656,0.5835012500000001
Algoritmo Genético,28,20.976077643495884,60,57.30941903212309,61,14.104502625554655,6183,492.6377096587312,0.4410006249999999
Algoritmo Genético,22,18.184181022469797,55,55.22323224236288,21,44.51668337871647,1212,375.472047223322,0.516184375
Algoritmo Genético,32,25.80765676777547,91,52.89325783347843,46,58.02192415844405,3347,218.2130976025315,0.4544293749999999
Algoritmo Genético,22,18.44570505117588,57,45.34780465010252,34,32.76148913527873,5238,428.9074824090048,0.47849374999999994
Algoritmo Genético,28,23.928421338330395,76,42.33155540743876,45,25.230624904272595,9209,404.7141761616689,0.4601575
